,T-Sapphire,mKelly2,Sirius,miRFP670,mEmerald,mKeima,iFP1.4,mKalama1,miRFP720,TagRFP-T,Total Bleed-through as % of signal
Violet (B),1,0,0.00798695,0,0.211517362,0.011320251,0,0.461271606,0,1.67E-04,0.692262939
Yel/Grn (A),0,0.281796317,0,0.003971058,1.64E-04,0,0,0,0,1,3.56333725
UV (A),2.90E-04,0,1,0,0,0,0,0.036707702,0,0,3.70E-02
Red (B),0,0.045179251,0,1,2.91E-05,0,0,0,0,0,4.52E-02
Blue (A),0.043477769,0,0,0,1,0.003430739,0,0,0,6.91E-04,0.0475997
Violet (C),0.032032285,0,0,0,0.007380919,1,0,0.002271009,0,0.02828234,0.069966554
Violet (E),0,0,0,0,0,0.083688081,1,0,0,8.47E-04,0.084535393
Violet (A),0.015336757,0,0.058054694,0,4.43E-04,0,0,1,0,0,0.07383454
Red (C),0,0.018096643,0,0.87889376,1.55E-06,0,1,0,0.79895157,0,2.374351621
Yel/Grn (C),0,0.014742151,0,0,4.02E-04,0,0,0,0,1,0.01514408
